colony,lat2,lon2
Allensen,42.64018157,-80.77668368
Bolin,42.62406185,-80.72698737
Bossuyt,42.66201867,-80.9733874
Cultus,42.62317715,-80.60046204
Hayhoe,42.65991748,-80.9019113
Simcoe,42.85777228,-80.3416955
Waterford,42.91618791,-80.32295334
Kingswood,42.66121191,-81.0630592
Crosby,42.66160867,-81.0769576
Hawk Cliff,42.66347311,-81.16898963
Zegers,42.64647822,-81.33986336
Thamesford,43.04127027,-81.04961096
Embro,43.19538521,-80.94193203
Blythedale,43.23770996,-80.94692921
Fishers Glen,42.720272,-80.292292
WC2,43.895853,-78.63001093
Durham,43.86858,-78.76572253
DrainBro,44.273256,-77.86038228
Finlay,44.10372,-78.15393385
CMBLake,44.415831,-78.31906989
