"","X","new_id","colony","band_number","species_code","age","sex","fat","wing","weight","hour","minute","initials","day","month","year","banding_site","band.size","notes","tag","detected_Motus","measured","Notes","day_end_breeding","month_end_breeding","type","end_date_checked","day_end_colony","month_end_colony","release","last_day","ordinal_release","ordinal_last_day","lat2","lon2","id","count","ordinal_date","count2","date","state_evening","twilight","time_since_sunset","state_morning","sunrise","time_since_sunrise","roost","distance","time_departure","hour_sunset","direction","air_temp","precip","precip_rate","cloud_cover","temp","uwind"
"1",1,"153 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,0,153,0,"2015-06-02 11:39:00",NA,"2015-06-02 01:28:07",-81.87508,NA,NA,NA,0,35.9879298704287,"2015-06-03 00:06:14",0,91.1061886114255,289.976680960886,9.41893176608596,-2.3283064e-10,1.2261348451261,16.9766809608859,-3.23658625154174
"2",7,"154 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,1,154,86400,"2015-06-03 11:39:00",NA,"2015-06-03 01:28:58",-81.87508,NA,NA,NA,0,35.9879298704287,"2015-06-04 00:07:05",0,91.1061886114255,293.126270988336,14.9489459035627,9.87100711983706e-09,5.49449543003158,20.1262709883359,-4.49551094730588
"3",24,"155 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,2,155,172800,"2015-06-04 11:39:00",NA,"2015-06-04 01:29:47",-81.87508,NA,NA,NA,0,35.9879298704287,"2015-06-05 00:07:55",0,91.1061886114255,295.822456425759,28.7862775858881,-2.3283064e-10,37.6943396365531,22.8224564257592,-0.986524714110803
"4",48,"156 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,3,156,259200,"2015-06-05 11:39:00",NA,"2015-06-05 01:30:35",-81.87508,NA,NA,NA,0,35.9879298704287,"2015-06-06 00:08:43",0,91.1061886114255,290.762951054291,28.362502112583,2.91743117816902e-05,61.651388222665,17.7629510542907,0.773738669074495
"5",88,"157 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,4,157,345600,"2015-06-06 11:39:00",NA,"2015-06-06 01:31:21",-81.87508,NA,NA,NA,0,35.9879298704287,"2015-06-07 00:09:29",0,91.1061886114255,291.149886539028,9.02115816344845,-2.3283064e-10,15.7307868592642,18.1498865390283,-2.79507178088041
"6",128,"158 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,5,158,432000,"2015-06-07 11:39:00",NA,"2015-06-07 01:32:06",-81.87508,NA,NA,NA,0,35.9879298704287,"2015-06-08 00:10:13",0,91.1061886114255,295.479054121116,37.3573043770734,0.000162353718703836,91.8938050321233,22.4790541211162,2.29602449760325
"7",168,"159 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,6,159,518400,"2015-06-08 11:39:00",NA,"2015-06-08 01:32:48",-81.87508,NA,NA,NA,0,35.9879298704287,"2015-06-09 00:10:56",0,91.1061886114255,291.218588165147,35.0294558550446,6.02590122239173e-05,81.8986582970409,18.2185881651469,4.30297014528457
"8",215,"160 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,7,160,604800,"2015-06-09 11:39:00",NA,"2015-06-09 01:33:29",-81.87508,NA,NA,NA,0,35.9879298704287,"2015-06-10 00:11:37",0,91.1061886114255,291.24279554647,21.5313017308807,-2.3283064e-10,19.3941205000855,18.2427955464702,4.12831580530875
"9",261,"161 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,8,161,691200,"2015-06-10 11:39:00",NA,"2015-06-10 01:34:08",-81.87508,NA,NA,NA,0,35.9879298704287,"2015-06-11 00:12:16",0,91.1061886114255,294.553648352184,27.148145088806,-2.3283064e-10,52.5006443038891,21.5536483521842,8.01134389185873
"10",310,"162 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,9,162,777600,"2015-06-11 11:39:00",NA,"2015-06-11 01:34:45",-81.87508,NA,NA,NA,0,35.9879298704287,"2015-06-12 00:12:53",0,91.1061886114255,292.99193806229,29.8886407587826,-2.3283064e-10,89.0870310052282,19.9919380622896,-1.1230367519134
