"","new_id","colony","band_number","species_code","age","sex","fat","wing","weight","hour","minute","initials","day","month","year","banding_site","band.size","notes","tag","detected_Motus","measured","Notes","day_end_breeding","month_end_breeding","type","end_date_checked","day_end_colony","month_end_colony","release","last_day","ordinal_release","ordinal_last_day","lat2","lon2","id","count","ordinal_date","count2","date","state_evening","twilight","time_since_sunset","state_morning","sunrise","time_since_sunrise","roost","distance","time_departure","hour_sunset","direction"
"1","153 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,0,153,0,2015-06-02 11:39:00,NA,2015-06-02 01:28:07,-81.87508,NA,NA,NA,0,35.9879298704287,2015-06-03 00:06:14,0,91.1061886114255
"7","154 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,1,154,86400,2015-06-03 11:39:00,NA,2015-06-03 01:28:58,-81.87508,NA,NA,NA,0,35.9879298704287,2015-06-04 00:07:05,0,91.1061886114255
"24","155 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,2,155,172800,2015-06-04 11:39:00,NA,2015-06-04 01:29:47,-81.87508,NA,NA,NA,0,35.9879298704287,2015-06-05 00:07:55,0,91.1061886114255
"48","156 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,3,156,259200,2015-06-05 11:39:00,NA,2015-06-05 01:30:35,-81.87508,NA,NA,NA,0,35.9879298704287,2015-06-06 00:08:43,0,91.1061886114255
"88","157 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,4,157,345600,2015-06-06 11:39:00,NA,2015-06-06 01:31:21,-81.87508,NA,NA,NA,0,35.9879298704287,2015-06-07 00:09:29,0,91.1061886114255
"128","158 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,5,158,432000,2015-06-07 11:39:00,NA,2015-06-07 01:32:06,-81.87508,NA,NA,NA,0,35.9879298704287,2015-06-08 00:10:13,0,91.1061886114255
"168","159 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,6,159,518400,2015-06-08 11:39:00,NA,2015-06-08 01:32:48,-81.87508,NA,NA,NA,0,35.9879298704287,2015-06-09 00:10:56,0,91.1061886114255
"215","160 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,7,160,604800,2015-06-09 11:39:00,NA,2015-06-09 01:33:29,-81.87508,NA,NA,NA,0,35.9879298704287,2015-06-10 00:11:37,0,91.1061886114255
"261","161 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,8,161,691200,2015-06-10 11:39:00,NA,2015-06-10 01:34:08,-81.87508,NA,NA,NA,0,35.9879298704287,2015-06-11 00:12:16,0,91.1061886114255
"310","162 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,2015-06-02 11:39:00,2015-07-09 03:59:00,153,190,42.62406185,-80.72698737,121,9,162,777600,2015-06-11 11:39:00,NA,2015-06-11 01:34:45,-81.87508,NA,NA,NA,0,35.9879298704287,2015-06-12 00:12:53,0,91.1061886114255
